Old_Name,New_Name
V1,year_admin
V3,form_id
V4,r_id
V6,r_id
RESPONDENT_ID,r_id
V5,sampling_weight
ARCHIVE_WT,sampling_weight
V13,schl_rgn_4
V16,self_rep_large_msa
V17,msa_non_msa
V1150,r_sex
V2150,r_sex
V1151,r_race
V2151,r_race
V1163,fathr_educ_level
V2163,fathr_educ_level
V1164,mothr_educ_level
V2164,mothr_educ_level
V1176,x_4w_sc_ms_cut
V2176,x_4w_sc_ms_cut
V1178,x_4w_skp_class
V2178,x_4w_skp_class
V1179,r_hs_grade
V2179,r_hs_grade
V1328,dr_told_tk_amph
V1329,amph_lifetim
V1330,amph_last12m
V1331,amph_last30da
V2127,amph_lifetim
V2128,amph_last12m
V2129,amph_last30da
V1429,dr_told_tk_trnq
V1430,trql_lifetim
V1431,trql_last12m
V1432,trql_last30da
V2136,trql_lifetim
V2137,trql_last12m
V2138,trql_last30da
V1564,dr_told_tk_narc
V1565,narc_lifetim
V1566,narc_last12m
V1567,narc_last30da
V2142,narc_lifetim
V2143,narc_last12m
V2144,narc_last30da
V2305,easy_gt_amphtmns
V2307,easy_gt_tranqliz
V2310,easy_gt_narcotic
V1838,amph_src_internt
V1873,amph_src_frnd_ask
V1874,amph_src_rltv_ask
V1875,amph_src_frnd_free
V1876,amph_src_rltv_free
V1877,amph_src_frnd_bght
V1878,amph_src_rltv_bght
V1842,amph_src_prescrp
V1843,amph_src_dealer
V1844,amph_src_other
V1855,trq_src_internet
V1880,trq_src_frnd_ask
V1881,trq_src_rltv_ask
V1882,trq_src_frnd_free
V1883,trq_src_rltv_free
V1884,trq_src_frnd_bght
V1885,trq_src_rltv_bght
V1859,trq_src_prescrpt
V1860,trq_src_dealer
V1861,trq_src_other
V1865,narc_src_internt
V1886,narc_src_frnd_ask
V1887,narc_src_rltv_ask
V1888,narc_src_frnd_free
V1889,narc_src_rltv_free
V1890,narc_src_frnd_bght
V1891,narc_src_rltv_bght
V1869,narc_src_prescrp
V1870,narc_src_dealer
V1871,narc_src_other
